study_id,authors,year,title,participants,measures,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,key_behavioural_findings,TO DO,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
11,Silvia C. Amador;Ashley J. Hood;Mya C. Schiess;Robert Izor;Anne B. Sereno,2006,Dissociating cognitive deficits involved in voluntary eye movement dysfunctions in Parkinson's disease patients,"(a) 14 PwP (8 male), age 60 (49-69). H&Y 3.62 (2.5-5), duration 12 years (2-25). (b) 11 HC (4 male), age 55 (44-70).",Anti-saccade task vs delayed anti-saccade task vs remembered anti-saccade task (voluntary response execution vs saccadic response inhibition vs working memory).,yes,no,no,no,Reduced inhibition for PwP vs HC. PwP made more errors on antisaccade compared to controls but no difference on delayed or remembered antisaccade tasks. Worse PwP performance on anti-saccade task due to reduced saccadic response inhibition. PwP participants performed better on delayed anti-saccade task than anti-saccade task. PwP participants had a higher disinhibition rate compared to HC (saccades during delay period). PwP slower on all tasks compared to HC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Francesca Antonelli;Ji Hyun Ko;Janis Miyasaki;Anthony E. Lang;Sylvain Houle;Franco Valzania;Nicola J. Ray;Antonio P. Strafella,2014,Dopamine-agonists and impulsivity in Parkinson's disease: Impulsive choices vs. impulsive actions,"7 PwP (6 male), age 58.6 (6). UPDRS OFF 28.6 (6.8), duration 6.8 years (2.9).","Delay discounting task (cognitive impulsivity), Go/No-Go task (motor impulsivity). Also: medication ON/OFF.",no,no,no,yes,Higher k value ON medication compared to OFF medication only when the reward was larger. No significant effect of medication on any Go/No-Go task outcome.,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chrystalina A. Antoniades;Pedro Rebelo;Christopher Kennard;Tipu Z. Aziz;Alexander L. Green;James J. FitzGerald,2015,Pallidal deep brain stimulation improves higher control of the oculomotor system in Parkinson's disease,"(a) 14 PwP (8 Gpi-DBS, 6 STN-DBS). (b) 10 HC.","Anti-saccade task (response inhibition). Also: Globus pallidus interna DBS ON/OFF, STN-DBS ON/OFF.",yes,no,yes,yes,"Both STN-DBS and GPi-DBS reduced prosaccadic latency when ON vs OFF. Neither STN-DBS or GPi-DBS affected antisaccadic latency when ON vs OFF. GPi-DBS reduced antisaccadic error rate, whereas STN-DBS did not. STN-DBS does not affect saccadic response inhibition, but does speed responses for prosaccades. GPi-DBS reduces antisaccadic error rates, and the difference in error rates ON vs OFF is bigger than for STN-DBS.",No comparisons between PwP and HCs???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A. Antonini;C. Siri;G. Santangelo;R. Cilia;M. Poletti;M. Canesi;A. Caporali;F. Mancini;G. Pezzoli;R. Ceravolo;U. Bonuccelli;P. Barone,2011,Impulsivity and compulsivity in drug-naïve patients with Parkinson's disease,"(a) 18 PwP+ICB (15 male), age 58.3 (9.7). UPDRS 16.5 (8.1), H&Y 1.4 (0.5), duration 19.3 months (16.5). (b) 85 PwP-ICB (52 male), age 60.9 (9.1). UPDRS 16.4 (8.9), H&Y 1.6 (0.5), duration 14.6 months (15).",Barratt Impulsiveness Scale (impulsivity).,no,yes,no,no,"PwP+ICB group showed higher impulsive scores than PwP-ICB on the attention sub-score of the BIS, but no differences on the motor or non-planning sub-scores, nor the total score.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A. Anzak;L. Gaynor;M. Beigi;T. Foltynie;P. Limousin;L. Zrinzo;P. Brown;M. Jahanshahi,2013,Subthalamic nucleus gamma oscillations mediate a switch from automatic to controlled processing: A study of random number generation in Parkinson's disease,,Random number generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Francesca Baglio;Valeria Blasi;Andrea Falini;Elisabetta Farina;Federica Mantovani;Fabrizio Olivotto;Giuseppe Scotti;Raffaello Nemni;Marco Bozzali,2011,Functional brain changes in early Parkinson's disease during motor response and motor inhibition,(a) 15 PwP. (b) 11 HC.,Go/No-Go (motor inhibition). Also: fMRI,yes,no,no,no,No differences in motor inhibition between PwP and HC.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,J. Barnes;L. Boubert,2008,Executive functions are impaired in patients with Parkinson's disease with visual hallucinations,"(a) 19 PwP with hallucinations, age 67.52 (4.65). H&Y 3.79 (0.49), duration 11.93 years (4.78). (b) 20 PwP without hallucinations, age 63.73 (9.53). H&Y 2.90 (0.65), duration 9.72 years (4.76). (c) 20 HC, age 68.54 (6.80).","Stroop (inhibitory control), Go/No-Go (inhibitory control), category fluency (inhibitory control).",yes,no,yes,no,"PwP with hallucinations showed reduced inhibitory control compared to PwP without hallucinations, and PwP without hallucinations showed reduced inhibitory control compared to HC (on all three measures).",,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,S. Bayard;E. Joly;P. Ghisletta;A. Rossignol;Y. Herades;C. Geny;M. C. Gely-Nargeot;L. Rochat,2016,A multidimensional approach to impulsivity in Parkinson's disease: measurement and structural invariance of the UPPS Impulsive Behaviour Scale,"(a) 78 PwP (51 male), age 67.49 (8.16). UPDRS 24 (5-80), H&Y 2 (1-3). (b) 96 HC (58 male), age 67.95 (6.75).","UPPS Impulsive Behaviour Scale (impulsivity), Game of Dice task (reward processing/decision-making under risk).",yes,yes,no,no,"PwP-ICBs showed significantly higher impulsivity than HCs on all domains of the UPPS except sensation seeking. PwP+ICBs showed higher impulsivity compared to HCs on the UPPS in relation to: urgency, lack of premeditation, lack of perseverance, and sensation seeking. PwP+ICBs had significantly higher sensation seeking scores on the UPPS compared to PwP-ICBs. PwP made more risky decisions than HCs on Game of Dice task. In PwP, higher risk taking on the Game of Dice task is associated with lack of premeditation (UPPS) and longer disease duration, whereas lower risk taking is associated with lack of perseverance (UPPS). Disease duration is associated with lack of premeditation and lack of perseverance (both on the UPPS).",,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A. R. Bentivoglio;E. Baldonero;L. Ricciardi;F. De Nigris;A. Daniele,2013,Neuropsychological features of patients with Parkinson's disease and impulse control disorders,"(a) 17 PD+ICB (14 male), age 62 (10.1). UPDRS 23.8 (11), H&Y 2 (0.8), duration 6.9 years (3.8). (b) 17 PD-ICB (11 male), age 63.94 (9.2). UPDRS 22.5 (6.9), H&Y 2.3 (0.5), duration 7.3 years (4.4).","Stroop task (response inhibition), Frontal Assessment Battery Go/No-Go (), Barratt Impulsiveness Scale (impulsiveness), Iowa Gambling Task (decision-making under risk).",no,yes,no,no,"No sig difference between PwP+ICB and PwP-ICBs on the Stroop, Go/No-Go, or Iowa Gambling Tasks. PwP+ICB scored higher total BIS score and motor impulsivity sub-score compared to PwP-ICB, but no differences on the attention or non-planning sub-scores.",,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,C. Beste;I. Dziobek;H. Hielscher;R. Willemssen;M. Falkenstein,2009,Effects of stimulus-response compatibility on inhibitory processes in Parkinson's disease,(a) 15 PwP. (b) 15 HC.,Go/No-Go (response inhibition). Go/No-Go with S-R mapping reversed (response inhibition and selection). Also: EEG.,yes,,,,PwP showed overall reduced response inhibition compared to HCs.,Results need finishing apparently,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Patrick G. Bissett;Gordon D. Logan;Nelleke C. van Wouwe;Christopher M. Tolleson;Fenna T. Phibbs;Daniel O. Claassen;Scott A. Wylie,2015,Generalized motor inhibitory deficit in Parkinson's disease patients who freeze,"(a) 20 PwP+FOG (13 male), age 63.6 (10.3). UPDRS 25.4 (10.8), duration since diagnosis 8.6 years (5.3). (b) 22 PwP-FOG (11 male), age 63.2 (6.0). UPDRS 22 (12.7), duration since diagnosis 5.5 (3.2). (c) 21 HC (15 male), age 65 (8.3).",Stop Signal Task (response inhibition).,yes,no,yes,yes,Reduced response inhibition in PwP with Freezing of Gait (PwP+FOG) vs PwP-FOG. No differences in response inhibition in PwP-FOG vs HC.,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,R. Biundo;P. Formento-Dojot;S. Facchini;A. Vallelunga;L. Ghezzo;L. Foscolo;F. Meneghello;A. Antonini,2011,Brain volume changes in Parkinson's disease and their relationship with cognitive and behavioural abnormalities,"(a) 33 PwP+ICB (18 male), age 61.27 (10.19). UPDRS 30.23 (13.21), duration 8.81 years (4.79). (b) 24 PwP-ICB (17 male), age 70.37 (6.80). UPDRS 32.28 (12.83), duration 8.87 (5.43). (c) 22 HC.","Stroop (response monitoring and conflict resolution), Trail Making Test (shifting ability).",yes,yes,no,no,No significant difference group differences in performance on either task.,Check there are no demographic details for HC group,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P. Bocquillon;J. L. Bourriez;E. Palmero-Soler;L. Defebvre;P. Derambure;K. Dujardin,2015,Impaired Early Attentional Processes in Parkinson's Disease: A High-Resolution Event-Related Potentials Study,"(a) 15 PwP (10 male), age 59.2 (6.4). UPDRS 18.6 (8.7), H&Y 1.5 (0.5), duration 4.8 (3.5). (b) 15 HC (8 male), age 59.1 (7.4).","Oddball paradigm, Stroop (response inhibition). Also: EEG.",yes,no,no,no,"No groups for RT, omission rate, or commission rate in oddball task. PwP had a higher commission rate for distractors (as opposed to just standard) than HCs. No group differences on Stroop (Part A RT, Part B RT, # of errors on Part B).",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Nikoletta Bodi;Szabolcs Keri;Helga Nagy;Ahmed Moustafa;Catherine E. Myers;Nathaniel Daw;Gyorgy Dibo;Annamaria Takats;Daniel Bereczki;Mark A. Gluck,2009,Reward-learning and the novelty-seeking personality: A between- and within-subjects study of the effects of dopamine agonists on young Parkinson's patients,"(a) 26 de novo PwP (18 male), age 44.8 (5.2). UPDRS 30.8 (6.4), H&Y 1-3, duration since diagnosis 3.2 (2.0) months. (b) 22 medicated PwP (17 male). UPDRS 27.5 (6.1), H&Y 1-3, duration since diagnosis 8.8 (3.5) months. (c) 20 HC (15 male), age 45.3 (8.5).","Probabilistic classification task (reward and punishment learning), Temperament and Character Inventory (personality traits). Also: commencement of medication.",yes,no,yes,no,"De novo PwP participants showed increased sensitivity to learning by punishment than medicated PwP participants, but less sensitivity to learning by reward. Compared to HCs, both PwP groups were impaired on reward learning, but de novo PwP outperformed HCs on learning by punishment. Medicated PwP participants had higher novelty seeking scores than HCs and de novo PwP. HCs had higher novelty seeking scores than de novo PwP. Positive correlation between novelty seeking and reward learning for medicated PwP. Positive correlation between punishment learning and harm avoidance for HCs. After commencing DA agonist treatment, the newly medicated (previously de novo) PwP group showed improved reward learning, disrupted punishment learning, and increased novelty seeking. They performed similarly to HCs for reward learning, but worse for punishment learning.",Check no age info for unmedicated group,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,H. Bokura;S. Yamaguchi;S. Kobayashi,2005,Event-related potentials for response inhibition in Parkinson's disease,(a) 13 PwP. (b) 14 HC.,Go/No-Go (response inhibition). Also: EEG.,yes,no,no,no,"PwP group showed more errors than HC, but no difference in RTs.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,J. K. Boller;M. T. Barbe;K. A. M. Pauls;C. Reck;M. Brand;F. Maier;G. R. Fink;L. Timmermann;E. Kalbe,2014,Decision-making under risk is improved by both dopaminergic medication and subthalamic stimulation in Parkinson's disease,"(a) 18 PwP (9 male), age 64.3 (10.2). UPDRS OFF medication OFF DBS 45.5 (17.1), duration 13.61 (7.11). (b) 18 HC (10 male), age 63.7 (9).","Game of Dice task (decision-making under risk). Also: STN-DBS ON/OFF, medication ON/OFF.",yes,no,no,yes,"PwP showed more risky, disadvantageous behaviour ON medication and ON DBS compared to HC (less positive net score). No differences in net scores with medication ON and DBS OFF, but less positive net scores when combining medication ON versus medication OFF and when combining DBS ON versus DBS OFF. Suggests medication and DBS independently contribute to more advantageous behaviour, but no significant interaction of the two. No effect of medication or DBS on the use of negative feedback to make more advantageous decisions.",check if duration is years,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,L. Boubert;J. Barnes,2015,Phenomenology of Visual Hallucinations and Their Relationship to Cognitive Profile in Parkinson's Disease Patients: Preliminary Observations,"(a) 17 PwP+internal hallucinations, age 76.42 (5.63). H&Y 3.75 (0.89), duration 12.93 years (5.98). (b) 18 PwP+external hallucinations, age 73.45 (6.36). H&Y 4.2 (0.77), duration 12.02 years (5.67). (c) 20 PwP-hallucinations, age 72.18 (10.26). H&Y 3.34 (0.41), duration 10.72 years (4.52).","Category fluency (inhibitory ability), Stroop Task (inhibitory ability).",no,no,yes,,"Stroop RT interference cost was significantly higher for PwP+external compared to PwP+internal and PwP-hallucinations, and significantly higher for PwP+internal compared to PwP-hallucinations. Category fluency % responses that were perseverations: PwP+external performed worse than PwP+internal and PwP-hallucinations. No other group differences.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
