study_id,authors,year,title,participants,measures,key_behavioural_findings,pwp_v_hc,pwp_v_icb,pwp_between_groups_other,pwp_within_groups,barratt_imp_scale,stroop,go_nogo,Trail Making Test,stop_signal,Delay Discounting,Simon,iowa_gambling,BART,Temperament and Character Inventory,Eriksen Flanker,Conditional Stop Signal task,Behavioural Inhibition Systems/Behavioural Approach Systems,Game of Dice,Cambridge Gambling Task,Snaith-Hamilton Pleasure Scale,Economics Task,Framing Paradigm,Deal or No Deal (ambiguous decision making),Manual Congruency Task,UPPS,Probability-Associated Gambling task (decision making under risk),Associative learning (learning through reward and punishment - DMuAmbiguity?),Vancouver Gambling Task,Monetary Decision Making,Zuckerman-Kuhlman Personality Questionnaire,Color Trails Test (TMT),Task switching,Rewarded Switching Task,Odd Man Out,Hayling Test,Stimulus-response associations,Beads task,Picture-Word Interference Task (lexical-semantic inhibition),Gambling Task,Oddball paradigm,"Countermanding task (""reaching"" SST)",Pro-/anti-saccades,Saccadic Visually guided/memory guided/etc,Saccadic Smooth pursuit,Saccadic GNG,Saccadic Simon,Saccadic other,Inhibition of Return,Covert orienting task (inhibition of return),Category Fluency,Verbal fluency,Semantic Priming,Random Number Generation,Selective Attention Task,Attention Network Test,Moving Dots Task,Cue-target detection task,Conner's Performance Test,Continuous Performance Test,Probabilistic Classification Task (reward and punishment learning),Probabilistic Selection Task,Reversal learning/reward and punishment,Intra-Extra Dimensional Set Shifting,Holt-Laury task,Excluded Letter Fluency Test,2-back task,Rewarded Reaction Time,Incentive Value Task,Verb/noun production task,Dimensional Integration Task,Orienting of Attention,Salience Attribution Test,Cued activation/inhibition task,Anagram task,Calculation task,Binary Choice Task,Valuation Rating Task,Choice Titration Task,Virtual Reality Motor Inhibition Task,Temporal bisection task,Temporal Trisection task,Crossed response inhibition task,Simple RT task,Investment Task,Masked Priming task,Negative Priming,Identity Priming Task,Location Priming Task,Ignored Repetition Task,Repetition Priming,Choice Reaction Task (Paper-rock-scissors),Virtual Multiple Errand Test,Anti-cue keypress task,Temporal Interval Task,Working memory task,Wisconsin Card Sorting Task,Marble Task,Interference task,Stop-Change Paradigm,Lexical ambiguity,Tridimensional Personality Questionnaire,Visuomotor tracking task,Reversal learning
11,Amador et al. (2006),2006,Dissociating cognitive deficits involved in voluntary eye movement dysfunctions in Parkinson's disease patients,"(a) 14 PwP (8 male), age 60 (49-69). H&Y 3.62 (2.5-5), duration 12 years (2-25). (b) 11 HC (4 male), age 55 (44-70).",Anti-saccade task vs delayed anti-saccade task vs remembered anti-saccade task (voluntary response execution vs saccadic response inhibition vs working memory).,Reduced inhibition for PwP vs HC. PwP made more errors on antisaccade compared to controls but no difference on delayed or remembered antisaccade tasks. Worse PwP performance on anti-saccade task due to reduced saccadic response inhibition. PwP participants performed better on delayed anti-saccade task than anti-saccade task. PwP participants had a higher disinhibition rate compared to HC (saccades during delay period). PwP slower on all tasks compared to HC.,yes,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Angwin et al (2017),2017,Lexical ambiguity resolution during sentence processing in Parkinson's disease: An event-related potential study,"(a) 16 PwP (13 male), 67.25 (8.78). H&Y 2 (0.52), duration 5.19 years (2.97). (b) 16 HC (9 male), 68.69 (6.86).",Stroop (response inhibition),"No group differences in accuracy for each trial type, nor RT differences (incongruent vs neutral, incongruent vs congruent",yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
13,Antonelli et al. (2014) ,2014,Dopamine-agonists and impulsivity in Parkinson's disease: Impulsive choices vs. impulsive actions,"7 PwP (6 male), age 58.6 (6). UPDRS OFF 28.6 (6.8), duration 6.8 years (2.9).","Delay discounting task (cognitive impulsivity), Go/No-Go task (motor impulsivity). Also: medication ON/OFF.",Higher k value ON medication compared to OFF medication only when the reward was larger. No significant effect of medication on any Go/No-Go task outcome.,no,no,no,yes,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Antoniades et al. (2015) ,2015,Pallidal deep brain stimulation improves higher control of the oculomotor system in Parkinson's disease,"(a) 14 PwP (8 Gpi-DBS, 6 STN-DBS). (b) 10 HC.","Anti-saccade task (response inhibition). Also: Globus pallidus interna DBS ON/OFF, STN-DBS ON/OFF.","Both STN-DBS and GPi-DBS reduced prosaccadic latency when ON vs OFF. Neither STN-DBS or GPi-DBS affected antisaccadic latency when ON vs OFF. GPi-DBS reduced antisaccadic error rate, whereas STN-DBS did not. STN-DBS does not affect saccadic response inhibition, but does speed responses for prosaccades. GPi-DBS reduces antisaccadic error rates, and the difference in error rates ON vs OFF is bigger than for STN-DBS.",yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Antonini et al. (2011),2011,Impulsivity and compulsivity in drug-naïve patients with Parkinson's disease,"(a) 18 PwP+ICB (15 male), age 58.3 (9.7). UPDRS 16.5 (8.1), H&Y 1.4 (0.5), duration 19.3 months (16.5). (b) 85 PwP-ICB (52 male), age 60.9 (9.1). UPDRS 16.4 (8.9), H&Y 1.6 (0.5), duration 14.6 months (15).",Barratt Impulsiveness Scale (impulsivity).,"PwP+ICB group showed higher impulsive scores than PwP-ICB on the attention sub-score of the BIS, but no differences on the motor or non-planning sub-scores, nor the total score.",no,yes,no,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Anzak et al. (2013) ,2013,Subthalamic nucleus gamma oscillations mediate a switch from automatic to controlled processing: A study of random number generation in Parkinson's disease,,Random number generation,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Baglio et al. (2011) ,2011,Functional brain changes in early Parkinson's disease during motor response and motor inhibition,(a) 15 PwP. (b) 11 HC.,Go/No-Go (motor inhibition). Also: fMRI,No differences in motor inhibition between PwP and HC.,yes,no,no,no,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Balconi, Angioletti et al. (2018)",2018,"Gambling behavior in parkinson's disease: Impulsivity, reward mechanism and cortical brain oscillations","(a) 17 PwP+PG (14 male), 60.7 (6.1). UPDRS 17.0 (7.8), H&Y 2.0 (0.7). (b) 15 PwP+historyPG (11 male), 64.2 (6.5). UPDRS 13.0 (9.3), H&Y 2 (0.2). (c) 20 PwP-PG (17 male), 63.9 (7.1). UPDRS 13.8 (7.3), H&Y 1.7 (0.5).",Iowa Gambling Task (decision making). Also: EEG.,PwP+PG showed riskier decision making (advantageous deck draws minus disadvantageous deck draws) then PwP+historyPG and PwP-PG. PwP+historyPG showed riskier decision making than PwP-PG.. In both the decision making phase and post-feedback phase: Higher delta activity found for PwP+PG than PwP+historyPG and PwP-PG for disadvantageous choices. No group differences for alpha or beta frequency bands. ,no,yes,no,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Balconi, Siri et al (2018)",2018,Personality Traits and Cortical Activity Affect Gambling Behavior in Parkinson's Disease,"(a) 15 PwP+PG (13 male), 65.2 (6.3). UPDRS 16.5 (8.9), H&Y 2.1 (0.6). (b) 14 PwP+historyPG (11 male), 63 (7.3). PwPRS 13.7 (10.4), H&Y 2 (0.3). (c) 17 PwP-PG (13 male), 60.7 (9.1). UPDRS 13.1 (7.6), H&Y 1.8 (0.8).",Iowa Gambling Task (decision making under uncertainty). Also: fNIRS.,"PwP+PG showed riskier decision making (advantage deck draws minus disadvantageous deck draws) than PwP+historyPG and PwP-PG. A higher cortical response was found generally for PwP+PG than PwP+historyPG and PwP-PG, especially in the left DLPFC.",no,yes,no,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Barbosa et al (2017),2017,Cognitive or Cognitive-Motor Executive Function Tasks? Evaluating Verbal Fluency Measures in People with Parkinson's Disease,"(a) 40 PwP (16 male), 67.2 (4.3). UPDRS 27.9 (12). (b) 40 HC (13 male), 67 (7.9).","Trail Making Test (mental flexibility/task switching/response inhibition), Verbal fluency (response inhibition).","PwP were slower to complete TMT B than HCs, but no significant group differences for B-A. PwP said significantly fewer words in verbal fluency test compared to HC. Verbal fluency was significantly correlated with TMT B.",yes,no,no,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Barnes & Boubert (2008) ,2008,Executive functions are impaired in patients with Parkinson's disease with visual hallucinations,"(a) 19 PwP with hallucinations, age 67.52 (4.65). H&Y 3.79 (0.49), duration 11.93 years (4.78). (b) 20 PwP without hallucinations, age 63.73 (9.53). H&Y 2.90 (0.65), duration 9.72 years (4.76). (c) 20 HC, age 68.54 (6.80).","Stroop (inhibitory control), Go/No-Go (inhibitory control), category fluency (inhibitory control).","PwP with hallucinations showed reduced inhibitory control compared to PwP without hallucinations, and PwP without hallucinations showed reduced inhibitory control compared to HC (on all three measures).",yes,no,yes,no,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bayard et al. (2016) ,2016,A multidimensional approach to impulsivity in Parkinson's disease: measurement and structural invariance of the UPPS Impulsive Behaviour Scale,"(a) 78 PwP (51 male), age 67.49 (8.16). UPDRS 24 (5-80), H&Y 2 (1-3). (b) 96 HC (58 male), age 67.95 (6.75).","UPPS Impulsive Behaviour Scale (impulsivity), Game of Dice task (reward processing/decision-making under risk).","PwP-ICBs showed significantly higher impulsivity than HCs on all domains of the UPPS except sensation seeking. PwP+ICBs showed higher impulsivity compared to HCs on the UPPS in relation to: urgency, lack of premeditation, lack of perseverance, and sensation seeking. PwP+ICBs had significantly higher sensation seeking scores on the UPPS compared to PwP-ICBs. PwP made more risky decisions than HCs on Game of Dice task. In PwP, higher risk taking on the Game of Dice task is associated with lack of premeditation (UPPS) and longer disease duration, whereas lower risk taking is associated with lack of perseverance (UPPS). Disease duration is associated with lack of premeditation and lack of perseverance (both on the UPPS).",yes,yes,no,no,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bentivoglio et al. (2013) ,2013,Neuropsychological features of patients with Parkinson's disease and impulse control disorders,"(a) 17 PD+ICB (14 male), age 62 (10.1). UPDRS 23.8 (11), H&Y 2 (0.8), duration 6.9 years (3.8). (b) 17 PD-ICB (11 male), age 63.94 (9.2). UPDRS 22.5 (6.9), H&Y 2.3 (0.5), duration 7.3 years (4.4).","Stroop task (response inhibition), Frontal Assessment Battery Go/No-Go (), Barratt Impulsiveness Scale (impulsiveness), Iowa Gambling Task (decision-making under risk).","No sig difference between PwP+ICB and PwP-ICBs on the Stroop, Go/No-Go, or Iowa Gambling Tasks. PwP+ICB scored higher total BIS score and motor impulsivity sub-score compared to PwP-ICB, but no differences on the attention or non-planning sub-scores.",no,yes,no,no,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Benussi et al (2017),2017,Modulating risky decision-making in Parkinson's disease by transcranial direct current stimulation,"(a) 20 PwP (cathodal tDCS) (15 male), 62.9 (10.5). UPDRS 14.7 (6.4), H&Y 1.7 (0.4). (b) 20 PwP (anodal tDCS) (13 male), 63.2 (9.2). UPDRS 17.6 (11.2), H&Y 1.6 (0.5). (c) 20 PwP (sham tDCS) (15 male), 63.5 (8.6). UPDRS 17.7 (12.2), H&Y 1.9 (0.7).",Iowa Gambling Task (risky decision making). Also: TDCS.,"No significant group differences, but cathodal stimulation group got higher (better) global IGT score (advantageous minus disadvantageous choices) than the sham group. Cathodal offset the dopamine overdosing by reducing excitability in the DLPFC?",no,no,yes,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Beratis et al (2018),2018,Exploring the association of the Comprehensive Trail Making Test with driving indexes in patients with Parkinson's disease,"(a) 12 PwP (12 male), 63.7 (10.5). UPDRS 14.7 (7.5), H&Y 2 (0.4), duration 8.3 years (5.4). (b) 12 HC (12 male), 63.5 (10.4).","Trail Making Test (mental flexibility/task shifting), Comprehensive Trail Making Test (task switching/flexibility/inhibition/distractibility).","PwP were slower on TMT-B. PwP were slower on all CTMTs, CTMT2 (inhibition and distractibility, CTMT 3 (attention and distractibility), CTMT 4 and 5 (task switching).",yes,no,no,no,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Beste et al. (2009),2009,Effects of stimulus-response compatibility on inhibitory processes in Parkinson's disease,(a) 15 PwP. (b) 15 HC.,Go/No-Go (response inhibition). Go/No-Go with S-R mapping reversed (response inhibition and selection). Also: EEG.,PwP showed overall reduced response inhibition compared to HCs.,yes,no,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Biars et al (2018),2018,Iowa Gambling Task Performance in Parkinson Disease Patients with Impulse Control Disorders,"(a) 24 PwP+ICB (21 male), 61.2 (8.3). UPDRS 21.6 (9.9), duration 13.2 years (7.1). (b) 24 PwP-ICB (21 male), 60.5 (7.8). UPDRS 18.3 (10.5), duration 11.9 years (7.1).",Iowa Gambling Task (decision making),"No significant group differences on IGT performance (number of advantageous selections minus number of disadvantageous selections), even for most severe ICB patients.",no,yes,no,no,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bissett et al. (2015) ,2015,Generalized motor inhibitory deficit in Parkinson's disease patients who freeze,"(a) 20 PwP+FOG (13 male), age 63.6 (10.3). UPDRS 25.4 (10.8), duration since diagnosis 8.6 years (5.3). (b) 22 PwP-FOG (11 male), age 63.2 (6.0). UPDRS 22 (12.7), duration since diagnosis 5.5 (3.2). (c) 21 HC (15 male), age 65 (8.3).",Stop Signal Task (response inhibition).,Reduced response inhibition in PwP with Freezing of Gait (PwP+FOG) vs PwP-FOG. No differences in response inhibition in PwP-FOG vs HC.,yes,no,yes,yes,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Biundo et al. (2011) ,2011,Brain volume changes in Parkinson's disease and their relationship with cognitive and behavioural abnormalities,"(a) 33 PwP+ICB (18 male), age 61.27 (10.19). UPDRS 30.23 (13.21), duration 8.81 years (4.79). (b) 24 PwP-ICB (17 male), age 70.37 (6.80). UPDRS 32.28 (12.83), duration 8.87 (5.43). (c) 22 HC.","Stroop (response monitoring and conflict resolution), Trail Making Test (shifting ability).",No significant difference group differences in performance on either task.,yes,yes,no,no,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bocquillon et al. (2015) ,2015,Impaired Early Attentional Processes in Parkinson's Disease: A High-Resolution Event-Related Potentials Study,"(a) 15 PwP (10 male), age 59.2 (6.4). UPDRS 18.6 (8.7), H&Y 1.5 (0.5), duration 4.8 (3.5). (b) 15 HC (8 male), age 59.1 (7.4).","Oddball paradigm, Stroop (response inhibition). Also: EEG.","No groups for RT, omission rate, or commission rate in oddball task. PwP had a higher commission rate for distractors (as opposed to just standard) than HCs. No group differences on Stroop (Part A RT, Part B RT, # of errors on Part B).",yes,no,no,no,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
